 ID,PARAM,Date,Concentration,SYM
08MH024,3,1965-01-06,630,S
08MH024,3,1965-02-06,735,S
08MH024,3,1965-03-06,700,S
08MH024,3,1965-04-06,535,S
08MH024,3,1965-05-06,470,S
08MH024,3,1965-06-06,400,S
08MH024,3,1965-07-06,410,S
08MH024,3,1965-08-06,390,S
08MH024,3,1965-09-06,310,S
08MH024,3,1965-10-06,290,S
08MH024,3,1965-11-06,260,S
08MH024,3,1965-12-06,275,S
08MH024,3,13-06-1965,275,S
08MH024,3,14-06-1965,285,S
08MH024,3,15-06-1965,310,S
08MH024,3,16-06-1965,310,S
08MH024,3,17-06-1965,295,S
08MH024,3,18-06-1965,285,S
08MH024,3,19-06-1965,250,S
08MH024,3,20-06-1965,235,S
08MH024,3,21-06-1965,210,S
08MH024,3,22-06-1965,215,S
08MH024,3,23-06-1965,225,S
08MH024,3,24-06-1965,205,S
08MH024,3,25-06-1965,195,S
08MH024,3,26-06-1965,175,S
08MH024,3,27-06-1965,175,S
08MH024,3,28-06-1965,160,S
08MH024,3,29-06-1965,150,S
08MH024,3,30-06-1965,150,S
08MH024,3,1965-01-07,175,S
08MH024,3,1965-02-07,175,S
08MH024,3,1965-03-07,170,S
08MH024,3,1965-04-07,150,S
08MH024,3,1965-05-07,130,S
08MH024,3,1965-06-07,140,S
08MH024,3,1965-07-07,150,S
08MH024,3,1965-08-07,155,S
08MH024,3,1965-09-07,160,S
08MH024,3,1965-10-07,160,S
08MH024,3,1965-11-07,195,S
08MH024,3,1965-12-07,230,S
08MH024,3,13-07-1965,250,S
08MH024,3,14-07-1965,230,S
08MH024,3,15-07-1965,200,S
08MH024,3,16-07-1965,180,S
08MH024,3,17-07-1965,160,S
08MH024,3,18-07-1965,140,S
08MH024,3,19-07-1965,140,S
08MH024,3,20-07-1965,135,S
08MH024,3,21-07-1965,150,S
08MH024,3,22-07-1965,155,S
08MH024,3,23-07-1965,135,S
08MH024,3,24-07-1965,130,S
08MH024,3,25-07-1965,125,S
08MH024,3,26-07-1965,130,
08MH024,3,27-07-1965,130,S
08MH024,3,28-07-1965,105,S
08MH024,3,29-07-1965,105,S
08MH024,3,30-07-1965,100,S
08MH024,3,31-07-1965,100,S
08MH024,3,1965-01-08,90,S
08MH024,3,1965-02-08,95,S
08MH024,3,1965-03-08,85,S
08MH024,3,1965-04-08,100,S
08MH024,3,1965-05-08,100,S
08MH024,3,1965-06-08,90,S
08MH024,3,1965-07-08,100,S
08MH024,3,1965-08-08,105,S
08MH024,3,1965-09-08,110,S
08MH024,3,1965-10-08,100,S
08MH024,3,1965-11-08,95,S
08MH024,3,1965-12-08,110,S
08MH024,3,13-08-1965,100,S
08MH024,3,14-08-1965,90,S
08MH024,3,15-08-1965,85,S
08MH024,3,16-08-1965,105,S
08MH024,3,17-08-1965,125,S
08MH024,3,18-08-1965,110,S
08MH024,3,19-08-1965,95,S
08MH024,3,20-08-1965,95,S
08MH024,3,21-08-1965,90,S
08MH024,3,22-08-1965,90,S
08MH024,3,23-08-1965,85,S
08MH024,3,24-08-1965,80,S
08MH024,3,25-08-1965,75,S
08MH024,3,26-08-1965,120,S
08MH024,3,27-08-1965,110,S
08MH024,3,28-08-1965,130,S
08MH024,3,29-08-1965,175,S
08MH024,3,30-08-1965,155,S
08MH024,3,31-08-1965,135,S
08MH024,3,1965-01-09,140,S
08MH024,3,1965-02-09,135,S
08MH024,3,1965-03-09,120,S
08MH024,3,1965-04-09,110,S
08MH024,3,1965-05-09,100,S
08MH024,3,1965-06-09,95,S
08MH024,3,1965-07-09,95,S
08MH024,3,1965-08-09,90,S
08MH024,3,1965-09-09,75,S
08MH024,3,1965-10-09,90,S
08MH024,3,1965-11-09,80,S
08MH024,3,1965-12-09,75,S
08MH024,3,13-09-1965,65,S
08MH024,3,14-09-1965,80,S
08MH024,3,15-09-1965,65,S
08MH024,3,16-09-1965,55,S
08MH024,3,17-09-1965,55,S
08MH024,3,18-09-1965,45,S
08MH024,3,19-09-1965,38,S
08MH024,3,20-09-1965,35,S
08MH024,3,21-09-1965,35,S
08MH024,3,22-09-1965,33,S
08MH024,3,23-09-1965,35,S
08MH024,3,24-09-1965,30,
08MH024,3,25-09-1965,33,S
08MH024,3,26-09-1965,35,
