,Concentration,Date,lnSSC_predicted,SSC_predicted,ln_Concentration,Value
0,,1984-01-01,,,,1560.0
1,,1984-01-02,,,,1600.0
2,,1984-01-03,,,,1710.0
3,,1984-01-04,,,,3790.0
4,,1984-01-05,,,,4160.0
5,,1984-01-06,,,,2950.0
6,,1984-01-07,,,,2550.0
7,,1984-01-08,,,,2470.0
8,,1984-01-09,,,,2260.0
9,,1984-01-10,,,,2160.0
10,,1984-01-11,,,,2150.0
11,,1984-01-12,,,,2090.0
12,,1984-01-13,,,,2010.0
13,,1984-01-14,,,,1950.0
14,,1984-01-15,,,,1950.0
15,,1984-01-16,,,,1860.0
16,,1984-01-17,,,,1660.0
17,,1984-01-18,,,,1720.0
18,,1984-01-19,,,,1530.0
19,,1984-01-20,,,,1510.0
20,,1984-01-21,,,,1450.0
21,,1984-01-22,,,,1380.0
22,,1984-01-23,,,,1390.0
23,,1984-01-24,,,,1500.0
24,,1984-01-25,,,,2010.0
25,,1984-01-26,,,,1890.0
26,,1984-01-27,,,,1700.0
27,,1984-01-28,,,,2020.0
28,,1984-01-29,,,,2100.0
29,,1984-01-30,,,,1770.0
30,,1984-01-31,,,,1640.0
31,,1984-02-01,,,,1570.0
32,,1984-02-02,,,,1550.0
33,,1984-02-03,,,,1500.0
34,,1984-02-04,,,,1470.0
35,,1984-02-05,,,,1510.0
36,,1984-02-06,,,,1500.0
37,,1984-02-07,,,,1440.0
38,,1984-02-08,,,,1460.0
39,,1984-02-09,,,,1390.0
40,,1984-02-10,,,,1590.0
41,,1984-02-11,,,,1390.0
42,,1984-02-12,,,,1460.0
43,,1984-02-13,,,,1610.0
44,,1984-02-14,,,,1600.0
45,,1984-02-15,,,,1430.0
46,,1984-02-16,,,,1590.0
47,,1984-02-17,,,,1430.0
48,,1984-02-18,,,,1360.0
49,,1984-02-19,,,,1400.0
50,,1984-02-20,,,,1560.0
51,,1984-02-21,,,,1840.0
52,,1984-02-22,,,,1740.0
53,,1984-02-23,,,,1690.0
54,,1984-02-24,,,,1590.0
55,,1984-02-25,,,,1580.0
56,,1984-02-26,,,,1510.0
57,,1984-02-27,,,,1390.0
58,,1984-02-28,,,,1410.0
59,,1984-02-29,,,,1550.0
60,,1984-03-01,,,,1590.0
61,,1984-03-02,,,,1500.0
62,,1984-03-03,,,,1590.0
63,,1984-03-04,,,,1540.0
64,,1984-03-05,,,,1450.0
65,,1984-03-06,,,,1500.0
66,,1984-03-07,,,,1420.0
67,,1984-03-08,,,,1520.0
68,,1984-03-09,,,,1540.0
69,,1984-03-10,,,,1540.0
70,,1984-03-11,,,,1550.0
71,,1984-03-12,,,,1540.0
72,,1984-03-13,,,,1540.0
73,,1984-03-14,,,,1540.0
